unique	gene-symbol	entrez-id	transcript	chromosome	start-loc	end-loc	strand
ABCB11|8647	ABCB11	8647		2	169779449	169887833	-
ABCB1|5243	ABCB1	5243		7	87132948	87342564	-
ABCB4|5244	ABCB4	5244		7	87031361	87105019	-
ABCB5|340273	ABCB5	340273		7	20655245	20796636	+
ABCB6|10058	ABCB6	10058		2	220074494	220085174	-
ABCB7|22	ABCB7	22		X	74273107	74376132	-
ABCB8|11194	ABCB8	11194		7	150725510	150744867	+
ABCB9|23457	ABCB9	23457		12	123413540	123459752	-
ABCC10|89845	ABCC10	89845		6	43395292	43418163	+
ABCC11|85320	ABCC11	85320		16	48200822	48281479	-
ABCC12|94160	ABCC12	94160		16	48116884	48189929	-
ABCC13|150000	ABCC13	150000		21	15646120	15710335	+
ABCC1|4363	ABCC1	4363		16	16043434	16236928	+
ABCC2|1244	ABCC2	1244		10	101542463	101611662	+
ABCC3|8714	ABCC3	8714		17	48712218	48769062	+
ABCC4|10257	ABCC4	10257		13	95672084	95953687	-
ABCC5|10057	ABCC5	10057		3	183637726	183735727	-
ABCC6P1|653190	ABCC6P1	653190		16	18582570	18609605	+
ABCC6P2|730013	ABCC6P2	730013		16	14916289	14918559	-
ABCC6|368	ABCC6	368		16	16243423	16317328	-
ABCC8|6833	ABCC8	6833		11	17414433	17498449	-
ABCC9|10060	ABCC9	10060		12	21950326	22094336	-
ABCD1|215	ABCD1	215		X	152990323	153010216	+
ABCD2|225	ABCD2	225		12	39945022	40013843	-
ABCD3|5825	ABCD3	5825		1	94883933	94984218	+
ABCD4|5826	ABCD4	5826		14	74751980	74769767	-
ABCE1|6059	ABCE1	6059		4	146019156	146050675	+
ABCF1|23	ABCF1	23		6	30539170	30559307	+
ABCF2|10061	ABCF2	10061		7	150904923	150924317	-
ABCF3|55324	ABCF3	55324		3	183903863	183911795	+
ABCG1|9619	ABCG1	9619		21	43619799	43717352	+
ABCG2|9429	ABCG2	9429		4	89011417	89152474	-
ABCG4|64137	ABCG4	64137		11	119019750	119033372	+
ABCG5|64240	ABCG5	64240		2	44039612	44066004	-
ABCG8|64241	ABCG8	64241		2	44066103	44105604	+
ABHD10|55347	ABHD10	55347		3	111697828	111712208	+
ABHD11|83451	ABHD11	83451		7	73150427	73153190	-
ABHD12B|145447	ABHD12B	145447		14	51338878	51371687	+
ABHD12|26090	ABHD12	26090		20	25275380	25371477	-
ABHD13|84945	ABHD13	84945		13	108870763	108886602	+
ABHD14A|25864	ABHD14A	25864		3	52009042	52015215	+
ABHD14B|84836	ABHD14B	84836		3	52002527	52017425	-
ABHD15|116236	ABHD15	116236		17	27888311	27894048	-
ABHD1|84696	ABHD1	84696		2	27346657	27353678	+
ABHD2|11057	ABHD2	11057		15	89631381	89745591	+
ABHD3|171586	ABHD3	171586		18	19230858	19284766	-
ABHD4|63874	ABHD4	63874		14	23067147	23081257	+
ABHD5|51099	ABHD5	51099		3	43732375	43764216	+
ABHD6|57406	ABHD6	57406		3	58223259	58280459	+
ABHD8|79575	ABHD8	79575		19	17402941	17414282	-
ABI1|10006	ABI1	10006		10	27035527	27149959	-
ABI2|10152	ABI2	10152		2	204193003	204296891	+
ABI3BP|25890	ABI3BP	25890		3	100468181	100712334	-
ABI3|51225	ABI3	51225		17	47287589	47300587	+
ABL1|25	ABL1	25		9	133589268	133763060	+
ABL2|27	ABL2	27		1	179068463	179198819	-
ABLIM1|3983	ABLIM1	3983		10	116190870	116528019	-
ABLIM2|84448	ABLIM2	84448		4	7967038	8160559	-
ABLIM3|22885	ABLIM3	22885		5	148521054	148639999	+
ABO|28	ABO	28		9	136130563	136150630	-
ABP1|26	ABP1	26		7	150526069	150558379	+
ABRA|137735	ABRA	137735		8	107771712	107782472	-
ABR|29	ABR	29		17	906760	1090616	-
ABT1|29777	ABT1	29777		6	26597180	26600275	+
ABTB1|80325	ABTB1	80325		3	127391781	127399762	+
ABTB2|25841	ABTB2	25841		11	34172535	34378802	-
ACAA1|30	ACAA1	30		3	38164202	38178733	-
ACAA2|10449	ACAA2	10449		18	47309875	47340283	-
ACACA|31	ACACA	31		17	35441928	35766902	-
ACACB|32	ACACB	32		12	109554400	109706028	+
ACAD10|80724	ACAD10	80724		12	112123857	112194910	+
ACAD11|84129	ACAD11	84129		3	132276984	132378975	-
ACAD8|27034	ACAD8	27034		11	134123434	134135744	+
ACAD9|28976	ACAD9	28976		3	128598333	128634910	+
ACADL|33	ACADL	33		2	211052718	211090215	-
ACADM|34	ACADM	34		1	76190043	76229353	+
ACADSB|36	ACADSB	36		10	124768429	124817805	+
ACADS|35	ACADS	35		12	121163571	121177810	+
ACADVL|37	ACADVL	37		17	7120444	7128584	+
ACAN|176	ACAN	176		15	89346674	89418585	+
ACAP1|9744	ACAP1	9744		17	7239848	7254793	+
ACAP2|23527	ACAP2	23527		3	194995475	195163817	-
ACAP3|116983	ACAP3	116983		1	1227764	1244989	-
ACAT1|38	ACAT1	38		11	107992258	108018889	+
ACAT2|39	ACAT2	39		6	160182989	160200085	+
ACBD3|64746	ACBD3	64746		1	226332382	226374423	-
ACBD4|79777	ACBD4	79777		17	43209967	43221541	+
ACBD5|91452	ACBD5	91452		10	27484144	27531068	-
ACBD6|84320	ACBD6	84320		1	180257353	180472022	-
ACBD7|414149	ACBD7	414149		10	15057071	15130775	-
ACCN1|40	ACCN1	40		17	31340108	32483825	-
ACCN2|41	ACCN2	41		12	50451487	50477393	+
ACCN3|9311	ACCN3	9311		7	150745605	150749843	+
ACCN4|55515	ACCN4	55515		2	220379052	220403488	+
ACCN5|51802	ACCN5	51802		4	156750881	156787425	-
ACCSL|390110	ACCSL	390110		11	44069531	44081527	+
ACCS|84680	ACCS	84680		11	44087475	44105569	+
ACD|65057	ACD	65057		16	67691416	67694718	-
ACE2|59272	ACE2	59272		X	15579156	15620192	-
ACER1|125981	ACER1	125981		19	6306510	6333640	-
ACER2|340485	ACER2	340485		9	19397807	19452500	+
ACER3|55331	ACER3	55331		11	76571917	76734850	+
ACE|1636	ACE	1636		17	61554434	61599203	+
ACHE|43	ACHE	43		7	100487616	100494539	-
ACIN1|22985	ACIN1	22985		14	23527776	23564823	-
ACLY|47	ACLY	47		17	40023181	40075272	-
ACMSD|130013	ACMSD	130013		2	135596186	135659600	+
ACN9|57001	ACN9	57001		7	96745905	96811073	+
ACO1|48	ACO1	48		9	32384601	32450830	+
ACO2|50	ACO2	50		22	41865129	41924992	+
ACOT11|26027	ACOT11	26027		1	55007930	55100417	+
ACOT12|134526	ACOT12	134526		5	80625948	80689988	-
ACOT13|55856	ACOT13	55856		6	24667263	24705293	+
ACOT1|641371	ACOT1	641371		14	74003928	74042357	+
ACOT2|10965	ACOT2	10965		14	74034324	74042357	+
ACOT4|122970	ACOT4	122970		14	74058410	74062468	+
ACOT6|641372	ACOT6	641372		14	74083548	74086590	+
ACOT7|11332	ACOT7	11332		1	6324333	6453826	-
ACOT8|10005	ACOT8	10005		20	44470361	44486035	-
ACOT9|23597	ACOT9	23597		X	23721778	23761407	-
ACOX1|51	ACOX1	51		17	73937589	73975444	-
ACOX2|8309	ACOX2	8309		3	58490864	58522929	-
ACOX3|8310	ACOX3	8310		4	8368010	8442452	-
ACOXL|55289	ACOXL	55289		2	111490150	111875799	+
ACP1|52	ACP1	52		2	264869	278280	+
ACP2|53	ACP2	53		11	47260854	47270457	-
ACP5|54	ACP5	54		19	11685477	11689801	-
ACP6|51205	ACP6	51205		1	147119168	147142634	-
ACPL2|92370	ACPL2	92370		3	140950682	141013485	+
ACPP|55	ACPP	55		3	132036211	132087144	+
ACPT|93650	ACPT	93650		19	51293672	51298481	+
ACRBP|84519	ACRBP	84519		12	6747242	6756580	-
ACRC|93953	ACRC	93953		X	70797874	70833433	+
ACRV1|56	ACRV1	56		11	125542230	125550942	-
ACR|49	ACR	49		22	51176652	51183726	+
ACSBG1|23205	ACSBG1	23205		15	78463189	78526899	-
ACSBG2|81616	ACSBG2	81616		19	6135651	6193112	+
ACSF2|80221	ACSF2	80221		17	48503519	48552200	+
ACSF3|197322	ACSF3	197322		16	89160254	89222169	+
ACSL1|2180	ACSL1	2180		4	185676749	185747215	-
ACSL3|2181	ACSL3	2181		2	223725732	223809354	+
ACSL4|2182	ACSL4	2182		X	108884564	108976621	-
ACSL5|51703	ACSL5	51703		10	114133916	114188137	+
ACSL6|23305	ACSL6	23305		5	131142840	131347870	-
ACSM1|116285	ACSM1	116285		16	20634559	20709066	-
ACSM2A|123876	ACSM2A	123876		16	20462859	20498989	+
ACSM2B|348158	ACSM2B	348158		16	20548084	20587695	-
ACSM3|6296	ACSM3	6296		16	20775312	20808478	+
ACSM4|341392	ACSM4	341392		12	7456928	7480969	+
ACSM5|54988	ACSM5	54988		16	20420856	20452278	+
ACSS1|84532	ACSS1	84532		20	24986874	25039616	-
ACSS2|55902	ACSS2	55902		20	33462766	33515769	+
ACSS3|79611	ACSS3	79611		12	81471809	81649582	+
ACTA1|58	ACTA1	58		1	229566995	229569843	-
ACTA2|59	ACTA2	59		10	90694832	90751147	-
ACTBL2|345651	ACTBL2	345651		5	56775844	56778636	-
ACTB|60	ACTB	60		7	5566783	5570232	-
ACTC1|70	ACTC1	70		15	35080297	35087927	-
ACTG1|71	ACTG1	71		17	79476999	79479827	-
ACTG2|72	ACTG2	72		2	74120093	74146779	+
ACTL6A|86	ACTL6A	86		3	179280708	179306188	+
ACTL6B|51412	ACTL6B	51412		7	100240728	100254084	-
ACTL7A|10881	ACTL7A	10881		9	111624603	111626035	+
ACTL7B|10880	ACTL7B	10880		9	111616871	111618275	-
ACTL8|81569	ACTL8	81569		1	18081808	18153556	+
ACTL9|284382	ACTL9	284382		19	8807751	8809172	-
ACTN1|87	ACTN1	87		14	69340841	69446083	-
ACTN2|88	ACTN2	88		1	236849770	236927558	+
ACTN3|89	ACTN3	89		11	66313866	66330797	+
ACTN4|81	ACTN4	81		19	39138327	39221170	+
ACTR10|55860	ACTR10	55860		14	58666833	58702351	+
ACTR1A|10121	ACTR1A	10121		10	104238987	104262512	-
ACTR1B|10120	ACTR1B	10120		2	98272402	98280561	-
ACTR2|10097	ACTR2	10097		2	65454829	65498385	+
ACTR3B|57180	ACTR3B	57180		7	152456851	152552463	+
ACTR3C|653857	ACTR3C	653857		7	149944302	150000069	-
ACTR3|10096	ACTR3	10096		2	114647537	114716167	+
ACTR5|79913	ACTR5	79913		20	37377097	37401089	+
ACTR6|64431	ACTR6	64431		12	100594574	100635625	+
ACTR8|93973	ACTR8	93973		3	53901156	53916187	-
ACTRT1|139741	ACTRT1	139741		X	127184943	127186382	-
ACTRT2|140625	ACTRT2	140625		1	2938046	2939465	+
ACVR1B|91	ACVR1B	91		12	52345486	52390859	+
ACVR1C|130399	ACVR1C	130399		2	158383280	158485399	-
ACVR1|90	ACVR1	90		2	158592958	158732374	-
ACVR2A|92	ACVR2A	92		2	148602086	148688392	+
ACVR2B|93	ACVR2B	93		3	38495790	38534631	+
ACVRL1|94	ACVRL1	94		12	52301202	52317144	+
ACY1|95	ACY1	95		3	52009042	52023217	+
ACY3|91703	ACY3	91703		11	67410027	67418130	-
ACYP1|97	ACYP1	97		14	75519930	75530736	-
ACYP2|98	ACYP2	98		2	54342410	54532433	+
ADAD1|132612	ADAD1	132612		4	123300121	123350946	+
ADAD2|161931	ADAD2	161931		16	84224723	84230772	+
ADAL|161823	ADAL	161823		15	43622872	43646094	+
ADAM10|102	ADAM10	102		15	58888510	59042177	-
ADAM11|4185	ADAM11	4185		17	42836568	42859212	+
ADAM12|8038	ADAM12	8038		10	127700956	128077127	-
ADAM15|8751	ADAM15	8751		1	155023422	155035252	+
ADAM17|6868	ADAM17	6868		2	9629413	9695917	-
ADAM18|8749	ADAM18	8749		8	39442142	39587485	+
ADAM19|8728	ADAM19	8728		5	156822542	157002768	-
ADAM20|8748	ADAM20	8748		14	70989079	71001732	-
ADAM21P1|145241	ADAM21P1	145241		14	70712471	70714518	-
ADAM21|8747	ADAM21	8747		14	70924217	70926621	+
ADAM22|53616	ADAM22	53616		7	87563702	87826447	+
ADAM23|8745	ADAM23	8745		2	207308368	207482677	+
ADAM28|10863	ADAM28	10863		8	24151580	24212725	+
ADAM29|11086	ADAM29	11086		4	175839509	175899330	+
ADAM2|2515	ADAM2	2515		8	39601256	39695779	-
ADAM30|11085	ADAM30	11085		1	120436157	120439113	-
ADAM32|203102	ADAM32	203102		8	38965050	39142435	+
ADAM33|80332	ADAM33	80332		20	3648618	3662738	-
ADAM3A|1587	ADAM3A	1587		8	39308565	39380470	-
ADAM5P|255926	ADAM5P	255926		8	39172182	39274895	+
ADAM6|8755	ADAM6	8755		14	105994256	107283087	-
ADAM7|8756	ADAM7	8756		8	24298509	24384481	+
ADAM8|101	ADAM8	101		10	135075921	135090372	-
ADAM9|8754	ADAM9	8754		8	38854505	38962777	+
ADAMDEC1|27299	ADAMDEC1	27299		8	24241798	24263526	+
ADAMTS10|81794	ADAMTS10	81794		19	8645126	8675588	-
ADAMTS12|81792	ADAMTS12	81792		5	33527287	33892124	-
ADAMTS13|11093	ADAMTS13	11093		9	136279459	136324507	+
ADAMTS14|140766	ADAMTS14	140766		10	72432559	72522193	+
ADAMTS15|170689	ADAMTS15	170689		11	130318869	130343715	+
ADAMTS16|170690	ADAMTS16	170690		5	5140443	5320411	+
ADAMTS17|170691	ADAMTS17	170691		15	100511643	100882183	-
ADAMTS18|170692	ADAMTS18	170692		16	77316026	77469011	-
ADAMTS19|171019	ADAMTS19	171019		5	128796103	129074376	+
ADAMTS1|9510	ADAMTS1	9510		21	28208608	28217728	-
ADAMTS20|80070	ADAMTS20	80070		12	43748013	43945724	-
ADAMTS2|9509	ADAMTS2	9509		5	178540851	178772329	-
ADAMTS3|9508	ADAMTS3	9508		4	73146687	73434516	-
ADAMTS4|9507	ADAMTS4	9507		1	161159539	161168845	-
ADAMTS5|11096	ADAMTS5	11096		21	28290232	28339439	-
ADAMTS6|11174	ADAMTS6	11174		5	64444564	64777704	-
ADAMTS7|11173	ADAMTS7	11173		15	79051546	79103773	-
ADAMTS8|11095	ADAMTS8	11095		11	130274820	130298539	-
ADAMTS9|56999	ADAMTS9	56999		3	64501333	64673365	-
ADAMTSL1|92949	ADAMTSL1	92949		9	18474104	18910945	+
ADAMTSL2|9719	ADAMTSL2	9719		9	136397286	136440640	+
ADAMTSL3|57188	ADAMTSL3	57188		15	84322838	84708591	+
ADAMTSL4|54507	ADAMTSL4	54507		1	150521898	150533410	+
ADAMTSL5|339366	ADAMTSL5	339366		19	1505017	1513188	-
ADAP1|11033	ADAP1	11033		7	937538	1015235	-
ADAP2|55803	ADAP2	55803		17	29248754	29286209	+
ADARB1|104	ADARB1	104		21	46494493	46646478	+
ADARB2|105	ADARB2	105		10	1228074	1779718	-
ADAR|103	ADAR	103		1	154554536	154600437	-
ADAT1|23536	ADAT1	23536		16	75632998	75657154	-
ADAT2|134637	ADAT2	134637		6	143743970	143771841	-
ADAT3|113179	ADAT3	113179		19	1905417	1913443	+
ADA|100	ADA	100		20	43248164	43280376	-
ADCK1|57143	ADCK1	57143		14	78266426	78400296	+
ADCK2|90956	ADCK2	90956		7	140372953	140395744	+
ADCK4|79934	ADCK4	79934		19	41197434	41222790	-
ADCK5|203054	ADCK5	203054		8	145597526	145618451	+
ADCY10|55811	ADCY10	55811		1	167778838	167883453	-
ADCY1|107	ADCY1	107		7	45613739	45762712	+
ADCY2|108	ADCY2	108		5	7396343	7830194	+
ADCY3|109	ADCY3	109		2	25042041	25142055	-
ADCY4|196883	ADCY4	196883		14	24787571	24804277	-
ADCY5|111	ADCY5	111		3	123003399	123167392	-
ADCY6|112	ADCY6	112		12	49159976	49182820	-
ADCY7|113	ADCY7	113		16	50300462	50352043	+
ADCY8|114	ADCY8	114		8	131792548	132052835	-
ADCY9|115	ADCY9	115		16	4012653	4166186	-
ADCYAP1R1|117	ADCYAP1R1	117		7	31092142	31146311	+
ADCYAP1|116	ADCYAP1	116		18	904944	912171	+
ADC|113451	ADC	113451		1	33546714	33586131	+
ADD1|118	ADD1	118		4	2845577	2931787	+
ADD2|119	ADD2	119		2	70834750	70995329	-
ADD3|120	ADD3	120		10	111756108	111895320	+
ADH1A|124	ADH1A	124		4	100197524	100242572	-
ADH1B|125	ADH1B	125		4	100227528	100242572	-
ADH1C|126	ADH1C	126		4	100257651	100273917	-
ADH4|127	ADH4	127		4	100044835	100065449	-
ADH5|128	ADH5	128		4	99992132	100009931	-
ADH6|130	ADH6	130		4	100123795	100140403	-
ADH7|131	ADH7	131		4	100333418	100356525	-
ADHFE1|137872	ADHFE1	137872		8	67344718	67381042	+
ADI1|55256	ADI1	55256		2	3501691	3523350	-
ADIG|149685	ADIG	149685		20	37209838	37217104	+
ADIPOQ|9370	ADIPOQ	9370		3	186560463	186576250	+
ADIPOR1|51094	ADIPOR1	51094		1	202909963	202927700	-
ADIPOR2|79602	ADIPOR2	79602		12	1800247	1897844	+
ADK|132	ADK	132		10	75910965	76469059	+
ADM2|79924	ADM2	79924		22	50920012	50924864	+
ADM|133	ADM	133		11	10326631	10328923	+
ADNP2|22850	ADNP2	22850		18	77866915	77898226	+
ADNP|23394	ADNP	23394		20	49506883	49547527	-
ADORA1|134	ADORA1	134		1	203096836	203136533	+
ADORA2A|135	ADORA2A	135		22	24813709	24838324	+
ADORA2B|136	ADORA2B	136		17	15848231	15879210	+
ADORA3|140	ADORA3	140		1	112025971	112106597	-
ADO|84890	ADO	84890		10	64564516	64568238	+
ADPGK|83440	ADPGK	83440		15	73043710	73076667	-
ADPRHL1|113622	ADPRHL1	113622		13	114076260	114107839	-
ADPRHL2|54936	ADPRHL2	54936		1	36554453	36559532	+
ADPRH|141	ADPRH	141		3	119298523	119308791	+
ADRA1A|148	ADRA1A	148		8	26605667	26722922	-
ADRA1B|147	ADRA1B	147		5	159343740	159400017	+
ADRA1D|146	ADRA1D	146		20	4201278	4229659	-
ADRA2A|150	ADRA2A	150		10	112836790	112840660	+
ADRA2B|151	ADRA2B	151		2	96778626	96781888	-
ADRA2C|152	ADRA2C	152		4	3768075	3770251	+
ADRB1|153	ADRB1	153		10	115803806	115806665	+
ADRB2|154	ADRB2	154		5	148206156	148208188	+
ADRB3|155	ADRB3	155		8	37820516	37824184	-
ADRBK1|156	ADRBK1	156		11	67033905	67054029	+
ADRBK2|157	ADRBK2	157		22	25960861	26125256	+
ADRM1|11047	ADRM1	11047		20	60878027	60883916	+
ADSL|158	ADSL	158		22	40742504	40762573	+
ADSSL1|122622	ADSSL1	122622		14	105190534	105213645	+
ADSS|159	ADSS	159		1	244571797	244615413	-
AEBP1|165	AEBP1	165		7	44143960	44154158	+
AEBP2|121536	AEBP2	121536		12	19592608	19675173	+
AEN|64782	AEN	64782		15	89164527	89175512	+
AES|166	AES	166		19	3052908	3062964	-
AFAP1L1|134265	AFAP1L1	134265		5	148651401	148721365	+
AFAP1L2|84632	AFAP1L2	84632		10	116054584	116164515	-
AFAP1|60312	AFAP1	60312		4	7760440	7941653	-
AFARP1|246182	AFARP1	246182		1	113465972	113467295	+
AFF1|4299	AFF1	4299		4	87856163	88062190	+
AFF2|2334	AFF2	2334		X	147582139	148082192	+
AFF3|3899	AFF3	3899		2	100163718	100759037	-
AFF4|27125	AFF4	27125		5	132211072	132299354	-
AFG3L1|172	AFG3L1	172		16	90038988	90067195	+
AFG3L2|10939	AFG3L2	10939		18	12329108	12377194	-
AFMID|125061	AFMID	125061		17	76183398	76203782	+
AFM|173	AFM	173		4	74347462	74369717	+
AFP|174	AFP	174		4	74296855	74321492	+
AFTPH|54812	AFTPH	54812		2	64751465	64820131	+
AG2|387763	AG2	387763		11	43964106	43965432	+
AGAP11|119385	AGAP11	119385		10	88730498	88784486	+
AGAP1|116987	AGAP1	116987		2	236402736	237034114	+
AGAP2|116986	AGAP2	116986		12	58117573	58135940	-
AGAP3|116988	AGAP3	116988		7	150782954	150841523	+
AGAP4|119016	AGAP4	119016		10	46321051	46349325	-
AGAP5|729092	AGAP5	729092		10	75434034	75490272	-
AGAP6|414189	AGAP6	414189		10	51748078	51770258	+
AGAP7|653268	AGAP7	653268		10	51464164	51486327	-
AGAP8|728404	AGAP8	728404		10	51224690	51371331	-
AGA|175	AGA	175		4	178351924	178363591	-
AGBL1|123624	AGBL1	123624		15	86685242	87572283	+
AGBL2|79841	AGBL2	79841		11	47681145	47736302	-
AGBL3|340351	AGBL3	340351		7	134671259	134820526	+
AGBL4|84871	AGBL4	84871		1	48998527	50489626	-
AGBL5|60509	AGBL5	60509		2	27274491	27293489	+
AGER|177	AGER	177		6	32148746	32152023	-
AGFG1|3267	AGFG1	3267		2	228336888	228425938	+
AGFG2|3268	AGFG2	3268		7	100136834	100165842	+
AGGF1|55109	AGGF1	55109		5	76326232	76361035	+
AGK|55750	AGK	55750		7	141251078	141354209	+
AGL|178	AGL	178		1	100315640	100389579	+
AGMAT|79814	AGMAT	79814		1	15899152	15911605	-
AGPAT1|10554	AGPAT1	10554		6	32135990	32145842	-
AGPAT2|10555	AGPAT2	10555		9	139567595	139581911	-
AGPAT3|56894	AGPAT3	56894		21	45285116	45407474	+
AGPAT4|56895	AGPAT4	56895		6	161551057	161695107	-
AGPAT5|55326	AGPAT5	55326		8	6565878	6619019	+
AGPAT6|137964	AGPAT6	137964		8	41435707	41482520	+
AGPAT9|84803	AGPAT9	84803		4	84457261	84527025	+
AGPHD1|123688	AGPHD1	123688		15	78799906	78829714	+
AGPS|8540	AGPS	8540		2	178257471	178408564	+
AGR2|10551	AGR2	10551		7	16832266	16844738	-
AGR3|155465	AGR3	155465		7	16899031	16921613	-
AGRN|375790	AGRN	375790		1	955503	991492	+
AGRP|181	AGRP	181		16	67516474	67517716	-
AGTPBP1|23287	AGTPBP1	23287		9	88161455	88356944	-
AGTR1|185	AGTR1	185		3	148415658	148460788	+
AGTR2|186	AGTR2	186		X	115301958	115306223	+
AGTRAP|57085	AGTRAP	57085		1	11796142	11810827	+
AGT|183	AGT	183		1	230838274	230850336	-
AGXT2L1|64850	AGXT2L1	64850		4	109663204	109684235	-
AGXT2L2|85007	AGXT2L2	85007		5	177635541	177659803	-
AGXT2|64902	AGXT2	64902		5	34998206	35048076	-
AGXT|189	AGXT	189		2	241808162	241818535	+
AHCTF1|25909	AHCTF1	25909		1	247002402	247094723	-
AHCYL1|10768	AHCYL1	10768		1	110527308	110566363	+
AHCYL2|23382	AHCYL2	23382		7	128864864	129070051	+
AHCY|191	AHCY	191		20	32868073	32899608	-
AHDC1|27245	AHDC1	27245		1	27860794	27930361	-
AHI1|54806	AHI1	54806		6	135605112	135818903	-
AHNAK2|113146	AHNAK2	113146		14	105403591	105444694	-
AHNAK|79026	AHNAK	79026		11	62201016	62314332	-
AHRR|57491	AHRR	57491		5	304292	438403	+
AHR|196	AHR	196		7	17338276	17385775	+
AHSA1|10598	AHSA1	10598		14	77924373	77935807	+
AHSA2|130872	AHSA2	130872		2	61404553	61414058	+
AHSG|197	AHSG	197		3	186330850	186339105	+
AHSP|51327	AHSP	51327		16	31539203	31540123	+
AICDA|57379	AICDA	57379		12	8754762	8765442	-
AIDA|64853	AIDA	64853		1	222841357	222886526	-
AIF1L|83543	AIF1L	83543		9	133971912	133998539	+
AIF1|199	AIF1	199		6	31582994	31584796	+
AIFM1|9131	AIFM1	9131		X	129263340	129299808	-
AIFM2|84883	AIFM2	84883		10	71857979	71892690	-
AIFM3|150209	AIFM3	150209		22	21319418	21335649	+
AIG1|51390	AIG1	51390		6	143380500	143661439	+
AIM1L|55057	AIM1L	55057		1	26648350	26670443	-
AIM1|202	AIM1	202		6	106959730	107018332	+
