unique	mir-name	mirbase-id	mir-type	chromosome	start-loc	end-loc	strand	pre-mir-names	pre-mirbase-ids
hsa-mir-199a-1|MI0000242	hsa-mir-199a-1	MI0000242	pre-mir	19	10817426	10817496	-		
hsa-mir-208a|MI0000251	hsa-mir-208a	MI0000251	pre-mir	14	23388596	23388666	-		
hsa-mir-129-1|MI0000252	hsa-mir-129-1	MI0000252	pre-mir	7	128207872	128207943	+		
hsa-mir-148a|MI0000253	hsa-mir-148a	MI0000253	pre-mir	7	25949919	25949986	-		
hsa-mir-30c-2|MI0000254	hsa-mir-30c-2	MI0000254	pre-mir	6	71376960	71377031	-		
hsa-mir-30d|MI0000255	hsa-mir-30d	MI0000255	pre-mir	8	134804876	134804945	-		
hsa-mir-139|MI0000261	hsa-mir-139	MI0000261	pre-mir	11	72615063	72615130	-		
hsa-mir-147a|MI0000262	hsa-mir-147a	MI0000262	pre-mir	9	120244979	120245050	-		
hsa-mir-7-1|MI0000263	hsa-mir-7-1	MI0000263	pre-mir	9	83969748	83969857	-		
hsa-mir-7-2|MI0000264	hsa-mir-7-2	MI0000264	pre-mir	15	88611825	88611934	+		
hsa-mir-7-3|MI0000265	hsa-mir-7-3	MI0000265	pre-mir	19	4770670	4770779	+		
hsa-mir-10a|MI0000266	hsa-mir-10a	MI0000266	pre-mir	17	48579838	48579947	-		
hsa-mir-10b|MI0000267	hsa-mir-10b	MI0000267	pre-mir	2	176150303	176150412	+		
hsa-mir-34a|MI0000268	hsa-mir-34a	MI0000268	pre-mir	1	9151668	9151777	-		
hsa-mir-181a-2|MI0000269	hsa-mir-181a-2	MI0000269	pre-mir	9	124692442	124692551	+		
hsa-mir-181b-1|MI0000270	hsa-mir-181b-1	MI0000270	pre-mir	1	198858873	198858982	-		
hsa-mir-181c|MI0000271	hsa-mir-181c	MI0000271	pre-mir	19	13874699	13874808	+		
hsa-mir-182|MI0000272	hsa-mir-182	MI0000272	pre-mir	7	129770383	129770492	-		
hsa-mir-183|MI0000273	hsa-mir-183	MI0000273	pre-mir	7	129774905	129775014	-		
hsa-mir-187|MI0000274	hsa-mir-187	MI0000274	pre-mir	18	35904818	35904926	-		
hsa-mir-196a-2|MI0000279	hsa-mir-196a-2	MI0000279	pre-mir	12	53991738	53991847	+		
hsa-mir-199a-2|MI0000281	hsa-mir-199a-2	MI0000281	pre-mir	1	172144535	172144644	-		
hsa-mir-199b|MI0000282	hsa-mir-199b	MI0000282	pre-mir	9	128244721	128244830	-		
hsa-mir-203a|MI0000283	hsa-mir-203a	MI0000283	pre-mir	14	104117405	104117514	+		
hsa-mir-204|MI0000284	hsa-mir-204	MI0000284	pre-mir	9	70809975	70810084	-		
hsa-mir-205|MI0000285	hsa-mir-205	MI0000285	pre-mir	1	209432133	209432242	+		
hsa-mir-210|MI0000286	hsa-mir-210	MI0000286	pre-mir	11	568089	568198	-		
hsa-mir-211|MI0000287	hsa-mir-211	MI0000287	pre-mir	15	31065032	31065141	-		
hsa-mir-212|MI0000288	hsa-mir-212	MI0000288	pre-mir	17	2050271	2050380	-		
hsa-mir-181a-1|MI0000289	hsa-mir-181a-1	MI0000289	pre-mir	1	198859044	198859153	-		
hsa-mir-214|MI0000290	hsa-mir-214	MI0000290	pre-mir	1	172138798	172138907	-		
hsa-mir-215|MI0000291	hsa-mir-215	MI0000291	pre-mir	1	220117853	220117962	-		
hsa-mir-216a|MI0000292	hsa-mir-216a	MI0000292	pre-mir	2	55988950	55989059	-		
hsa-mir-217|MI0000293	hsa-mir-217	MI0000293	pre-mir	2	55982967	55983076	-		
hsa-mir-218-1|MI0000294	hsa-mir-218-1	MI0000294	pre-mir	4	20528275	20528384	+		
hsa-mir-218-2|MI0000295	hsa-mir-218-2	MI0000295	pre-mir	5	168768146	168768255	-		
hsa-mir-219a-1|MI0000296	hsa-mir-219a-1	MI0000296	pre-mir	6	33207835	33207944	+		
hsa-mir-221|MI0000298	hsa-mir-221	MI0000298	pre-mir	X	45746157	45746266	-		
hsa-mir-222|MI0000299	hsa-mir-222	MI0000299	pre-mir	X	45747015	45747124	-		
hsa-mir-223|MI0000300	hsa-mir-223	MI0000300	pre-mir	X	66018870	66018979	+		
hsa-mir-224|MI0000301	hsa-mir-224	MI0000301	pre-mir	X	151958578	151958658	-		
hsa-mir-200b|MI0000342	hsa-mir-200b	MI0000342	pre-mir	1	1167104	1167198	+		
hsa-let-7g|MI0000433	hsa-let-7g	MI0000433	pre-mir	3	52268278	52268361	-		
hsa-let-7i|MI0000434	hsa-let-7i	MI0000434	pre-mir	12	62603686	62603769	+		
hsa-mir-1-2|MI0000437	hsa-mir-1-2	MI0000437	pre-mir	18	21829004	21829088	-		
hsa-mir-15b|MI0000438	hsa-mir-15b	MI0000438	pre-mir	3	160404588	160404685	+		
hsa-mir-23b|MI0000439	hsa-mir-23b	MI0000439	pre-mir	9	95085208	95085304	+		
hsa-mir-27b|MI0000440	hsa-mir-27b	MI0000440	pre-mir	9	95085445	95085541	+		
hsa-mir-30b|MI0000441	hsa-mir-30b	MI0000441	pre-mir	8	134800520	134800607	-		
hsa-mir-122|MI0000442	hsa-mir-122	MI0000442	pre-mir	18	58451074	58451158	+		
hsa-mir-124-1|MI0000443	hsa-mir-124-1	MI0000443	pre-mir	8	9903388	9903472	-		
hsa-mir-124-2|MI0000444	hsa-mir-124-2	MI0000444	pre-mir	8	64379149	64379257	+		
hsa-mir-124-3|MI0000445	hsa-mir-124-3	MI0000445	pre-mir	20	63178500	63178586	+		
hsa-mir-125b-1|MI0000446	hsa-mir-125b-1	MI0000446	pre-mir	11	122099757	122099844	-		
hsa-mir-128-1|MI0000447	hsa-mir-128-1	MI0000447	pre-mir	2	135665397	135665478	+		
hsa-mir-130a|MI0000448	hsa-mir-130a	MI0000448	pre-mir	11	57641198	57641286	+		
hsa-mir-132|MI0000449	hsa-mir-132	MI0000449	pre-mir	17	2049908	2050008	-		
hsa-mir-133a-1|MI0000450	hsa-mir-133a-1	MI0000450	pre-mir	18	21825698	21825785	-		
hsa-mir-133a-2|MI0000451	hsa-mir-133a-2	MI0000451	pre-mir	20	62564912	62565013	+		
hsa-mir-135a-1|MI0000452	hsa-mir-135a-1	MI0000452	pre-mir	3	52294219	52294308	-		
hsa-mir-135a-2|MI0000453	hsa-mir-135a-2	MI0000453	pre-mir	12	97563812	97563911	+		
hsa-mir-137|MI0000454	hsa-mir-137	MI0000454	pre-mir	1	98046070	98046171	-		
hsa-mir-138-2|MI0000455	hsa-mir-138-2	MI0000455	pre-mir	16	56858518	56858601	+		
hsa-mir-140|MI0000456	hsa-mir-140	MI0000456	pre-mir	16	69933081	69933180	+		
hsa-mir-141|MI0000457	hsa-mir-141	MI0000457	pre-mir	12	6964097	6964191	+		
hsa-mir-142|MI0000458	hsa-mir-142	MI0000458	pre-mir	17	58331232	58331318	-		
hsa-mir-143|MI0000459	hsa-mir-143	MI0000459	pre-mir	5	149428918	149429023	+		
hsa-mir-144|MI0000460	hsa-mir-144	MI0000460	pre-mir	17	28861533	28861618	-		
hsa-mir-145|MI0000461	hsa-mir-145	MI0000461	pre-mir	5	149430646	149430733	+		
hsa-mir-152|MI0000462	hsa-mir-152	MI0000462	pre-mir	17	48037161	48037247	-		
hsa-mir-153-1|MI0000463	hsa-mir-153-1	MI0000463	pre-mir	2	219294111	219294200	-		
hsa-mir-153-2|MI0000464	hsa-mir-153-2	MI0000464	pre-mir	7	157574336	157574422	-		
hsa-mir-191|MI0000465	hsa-mir-191	MI0000465	pre-mir	3	49020618	49020709	-		
hsa-mir-9-1|MI0000466	hsa-mir-9-1	MI0000466	pre-mir	1	156420341	156420429	-		
hsa-mir-9-2|MI0000467	hsa-mir-9-2	MI0000467	pre-mir	5	88666853	88666939	-		
hsa-mir-9-3|MI0000468	hsa-mir-9-3	MI0000468	pre-mir	15	89368017	89368106	+		
hsa-mir-125a|MI0000469	hsa-mir-125a	MI0000469	pre-mir	19	51693254	51693339	+		
hsa-mir-125b-2|MI0000470	hsa-mir-125b-2	MI0000470	pre-mir	21	16590237	16590325	+		
hsa-mir-126|MI0000471	hsa-mir-126	MI0000471	pre-mir	9	136670602	136670686	+		
hsa-mir-127|MI0000472	hsa-mir-127	MI0000472	pre-mir	14	100882979	100883075	+		
hsa-mir-129-2|MI0000473	hsa-mir-129-2	MI0000473	pre-mir	11	43581394	43581483	+		
hsa-mir-134|MI0000474	hsa-mir-134	MI0000474	pre-mir	14	101054687	101054759	+		
hsa-mir-136|MI0000475	hsa-mir-136	MI0000475	pre-mir	14	100884702	100884783	+		
hsa-mir-138-1|MI0000476	hsa-mir-138-1	MI0000476	pre-mir	3	44114212	44114310	+		
hsa-mir-146a|MI0000477	hsa-mir-146a	MI0000477	pre-mir	5	160485352	160485450	+		
hsa-mir-149|MI0000478	hsa-mir-149	MI0000478	pre-mir	2	240456001	240456089	+		
hsa-mir-150|MI0000479	hsa-mir-150	MI0000479	pre-mir	19	49500785	49500868	-		
hsa-mir-154|MI0000480	hsa-mir-154	MI0000480	pre-mir	14	101059755	101059838	+		
hsa-mir-184|MI0000481	hsa-mir-184	MI0000481	pre-mir	15	79209788	79209871	+		
hsa-mir-185|MI0000482	hsa-mir-185	MI0000482	pre-mir	22	20033139	20033220	+		
hsa-mir-186|MI0000483	hsa-mir-186	MI0000483	pre-mir	1	71067631	71067716	-		
hsa-mir-188|MI0000484	hsa-mir-188	MI0000484	pre-mir	X	50003503	50003588	+		
hsa-mir-190a|MI0000486	hsa-mir-190a	MI0000486	pre-mir	15	62823957	62824041	+		
hsa-mir-193a|MI0000487	hsa-mir-193a	MI0000487	pre-mir	17	31559996	31560083	+		
hsa-mir-194-1|MI0000488	hsa-mir-194-1	MI0000488	pre-mir	1	220118157	220118241	-		
hsa-mir-195|MI0000489	hsa-mir-195	MI0000489	pre-mir	17	7017615	7017701	-		
hsa-mir-206|MI0000490	hsa-mir-206	MI0000490	pre-mir	6	52144349	52144434	+		
hsa-mir-320a|MI0000542	hsa-mir-320a	MI0000542	pre-mir	8	22244962	22245043	-		
hsa-mir-200c|MI0000650	hsa-mir-200c	MI0000650	pre-mir	12	6963699	6963766	+		
hsa-mir-1-1|MI0000651	hsa-mir-1-1	MI0000651	pre-mir	20	62554306	62554376	+		
hsa-mir-155|MI0000681	hsa-mir-155	MI0000681	pre-mir	21	25573980	25574044	+		
hsa-mir-181b-2|MI0000683	hsa-mir-181b-2	MI0000683	pre-mir	9	124693710	124693798	+		
hsa-mir-128-2|MI0000727	hsa-mir-128-2	MI0000727	pre-mir	3	35744476	35744559	+		
hsa-mir-194-2|MI0000732	hsa-mir-194-2	MI0000732	pre-mir	11	64891355	64891439	-		
hsa-mir-106b|MI0000734	hsa-mir-106b	MI0000734	pre-mir	7	100093993	100094074	-		
hsa-mir-29c|MI0000735	hsa-mir-29c	MI0000735	pre-mir	1	207801852	207801939	-		
hsa-mir-30c-1|MI0000736	hsa-mir-30c-1	MI0000736	pre-mir	1	40757284	40757372	+		
hsa-mir-200a|MI0000737	hsa-mir-200a	MI0000737	pre-mir	1	1167863	1167952	+		
hsa-mir-302a|MI0000738	hsa-mir-302a	MI0000738	pre-mir	4	112648183	112648251	-		
hsa-mir-101-2|MI0000739	hsa-mir-101-2	MI0000739	pre-mir	9	4850297	4850375	+		
hsa-mir-219a-2|MI0000740	hsa-mir-219a-2	MI0000740	pre-mir	9	128392618	128392714	-		
hsa-mir-34b|MI0000742	hsa-mir-34b	MI0000742	pre-mir	11	111512938	111513021	+		
hsa-mir-34c|MI0000743	hsa-mir-34c	MI0000743	pre-mir	11	111513439	111513515	+		
hsa-mir-299|MI0000744	hsa-mir-299	MI0000744	pre-mir	14	101023794	101023856	+		
hsa-mir-301a|MI0000745	hsa-mir-301a	MI0000745	pre-mir	17	59151136	59151221	-		
hsa-mir-99b|MI0000746	hsa-mir-99b	MI0000746	pre-mir	19	51692612	51692681	+		
hsa-mir-296|MI0000747	hsa-mir-296	MI0000747	pre-mir	20	58817615	58817694	-		
hsa-mir-130b|MI0000748	hsa-mir-130b	MI0000748	pre-mir	22	21653304	21653385	+		
hsa-mir-30e|MI0000749	hsa-mir-30e	MI0000749	pre-mir	1	40754355	40754446	+		
hsa-mir-26a-2|MI0000750	hsa-mir-26a-2	MI0000750	pre-mir	12	57824609	57824692	-		
hsa-mir-361|MI0000760	hsa-mir-361	MI0000760	pre-mir	X	85903636	85903707	-		
hsa-mir-362|MI0000762	hsa-mir-362	MI0000762	pre-mir	X	50008964	50009028	+		
hsa-mir-363|MI0000764	hsa-mir-363	MI0000764	pre-mir	X	134169378	134169452	-		
hsa-mir-365a|MI0000767	hsa-mir-365a	MI0000767	pre-mir	16	14309285	14309371	+		
hsa-mir-365b|MI0000769	hsa-mir-365b	MI0000769	pre-mir	17	31575411	31575521	+		
hsa-mir-302b|MI0000772	hsa-mir-302b	MI0000772	pre-mir	4	112648485	112648557	-		
hsa-mir-302c|MI0000773	hsa-mir-302c	MI0000773	pre-mir	4	112648363	112648430	-		
hsa-mir-302d|MI0000774	hsa-mir-302d	MI0000774	pre-mir	4	112648004	112648071	-		
hsa-mir-367|MI0000775	hsa-mir-367	MI0000775	pre-mir	4	112647874	112647941	-		
hsa-mir-376c|MI0000776	hsa-mir-376c	MI0000776	pre-mir	14	101039690	101039755	+		
hsa-mir-369|MI0000777	hsa-mir-369	MI0000777	pre-mir	14	101065598	101065667	+		
hsa-mir-370|MI0000778	hsa-mir-370	MI0000778	pre-mir	14	100911139	100911213	+		
hsa-mir-371a|MI0000779	hsa-mir-371a	MI0000779	pre-mir	19	53787675	53787741	+		
hsa-mir-372|MI0000780	hsa-mir-372	MI0000780	pre-mir	19	53787890	53787956	+		
hsa-mir-373|MI0000781	hsa-mir-373	MI0000781	pre-mir	19	53788705	53788773	+		
hsa-mir-374a|MI0000782	hsa-mir-374a	MI0000782	pre-mir	X	74287286	74287357	-		
hsa-mir-375|MI0000783	hsa-mir-375	MI0000783	pre-mir	2	219001645	219001708	-		
hsa-mir-376a-1|MI0000784	hsa-mir-376a-1	MI0000784	pre-mir	14	101040782	101040849	+		
hsa-mir-377|MI0000785	hsa-mir-377	MI0000785	pre-mir	14	101062050	101062118	+		
hsa-mir-378a|MI0000786	hsa-mir-378a	MI0000786	pre-mir	5	149732825	149732890	+		
hsa-mir-379|MI0000787	hsa-mir-379	MI0000787	pre-mir	14	101022066	101022132	+		
hsa-mir-380|MI0000788	hsa-mir-380	MI0000788	pre-mir	14	101025017	101025077	+		
hsa-mir-381|MI0000789	hsa-mir-381	MI0000789	pre-mir	14	101045920	101045994	+		
hsa-mir-382|MI0000790	hsa-mir-382	MI0000790	pre-mir	14	101054306	101054381	+		
hsa-mir-383|MI0000791	hsa-mir-383	MI0000791	pre-mir	8	14853438	14853510	-		
hsa-mir-340|MI0000802	hsa-mir-340	MI0000802	pre-mir	5	180015303	180015397	-		
hsa-mir-330|MI0000803	hsa-mir-330	MI0000803	pre-mir	19	45638994	45639087	-		
hsa-mir-328|MI0000804	hsa-mir-328	MI0000804	pre-mir	16	67202321	67202395	-		
hsa-mir-342|MI0000805	hsa-mir-342	MI0000805	pre-mir	14	100109655	100109753	+		
hsa-mir-337|MI0000806	hsa-mir-337	MI0000806	pre-mir	14	100874493	100874585	+		
hsa-mir-323a|MI0000807	hsa-mir-323a	MI0000807	pre-mir	14	101025732	101025817	+		
hsa-mir-326|MI0000808	hsa-mir-326	MI0000808	pre-mir	11	75335092	75335186	-		
hsa-mir-151a|MI0000809	hsa-mir-151a	MI0000809	pre-mir	8	140732564	140732653	-		
hsa-mir-135b|MI0000810	hsa-mir-135b	MI0000810	pre-mir	1	205448302	205448398	-		
hsa-mir-148b|MI0000811	hsa-mir-148b	MI0000811	pre-mir	12	54337216	54337314	+		
hsa-mir-331|MI0000812	hsa-mir-331	MI0000812	pre-mir	12	95308420	95308513	+		
hsa-mir-324|MI0000813	hsa-mir-324	MI0000813	pre-mir	17	7223297	7223379	-		
hsa-mir-338|MI0000814	hsa-mir-338	MI0000814	pre-mir	17	81125883	81125949	-		
hsa-mir-339|MI0000815	hsa-mir-339	MI0000815	pre-mir	7	1022933	1023026	-		
hsa-mir-335|MI0000816	hsa-mir-335	MI0000816	pre-mir	7	130496111	130496204	+		
hsa-mir-133b|MI0000822	hsa-mir-133b	MI0000822	pre-mir	6	52148923	52149041	+		
hsa-mir-325|MI0000824	hsa-mir-325	MI0000824	pre-mir	X	77005404	77005501	-		
hsa-mir-345|MI0000825	hsa-mir-345	MI0000825	pre-mir	14	100307859	100307956	+		
hsa-mir-346|MI0000826	hsa-mir-346	MI0000826	pre-mir	10	86264694	86264788	-		
hsa-mir-384|MI0001145	hsa-mir-384	MI0001145	pre-mir	X	76919273	76919360	-		
hsa-mir-196b|MI0001150	hsa-mir-196b	MI0001150	pre-mir	7	27169480	27169563	-		
hsa-mir-422a|MI0001444	hsa-mir-422a	MI0001444	pre-mir	15	63870930	63871019	-		
hsa-mir-423|MI0001445	hsa-mir-423	MI0001445	pre-mir	17	30117079	30117172	+		
hsa-mir-424|MI0001446	hsa-mir-424	MI0001446	pre-mir	X	134546614	134546711	-		
hsa-mir-425|MI0001448	hsa-mir-425	MI0001448	pre-mir	3	49020148	49020234	-		
hsa-mir-18b|MI0001518	hsa-mir-18b	MI0001518	pre-mir	X	134170041	134170111	-		
hsa-mir-20b|MI0001519	hsa-mir-20b	MI0001519	pre-mir	X	134169809	134169877	-		
hsa-mir-448|MI0001637	hsa-mir-448	MI0001637	pre-mir	X	114823454	114823564	+		
hsa-mir-429|MI0001641	hsa-mir-429	MI0001641	pre-mir	1	1169005	1169087	+		
hsa-mir-449a|MI0001648	hsa-mir-449a	MI0001648	pre-mir	5	55170532	55170622	-		
hsa-mir-450a-1|MI0001652	hsa-mir-450a-1	MI0001652	pre-mir	X	134540341	134540431	-		
hsa-mir-431|MI0001721	hsa-mir-431	MI0001721	pre-mir	14	100881007	100881120	+		
hsa-mir-433|MI0001723	hsa-mir-433	MI0001723	pre-mir	14	100881886	100881978	+		
hsa-mir-329-1|MI0001725	hsa-mir-329-1	MI0001725	pre-mir	14	101026785	101026864	+		
hsa-mir-329-2|MI0001726	hsa-mir-329-2	MI0001726	pre-mir	14	101027100	101027183	+		
hsa-mir-451a|MI0001729	hsa-mir-451a	MI0001729	pre-mir	17	28861369	28861440	-		
hsa-mir-452|MI0001733	hsa-mir-452	MI0001733	pre-mir	X	151959628	151959712	-		
hsa-mir-409|MI0001735	hsa-mir-409	MI0001735	pre-mir	14	101065300	101065378	+		
hsa-mir-412|MI0002464	hsa-mir-412	MI0002464	pre-mir	14	101065447	101065537	+		
hsa-mir-410|MI0002465	hsa-mir-410	MI0002465	pre-mir	14	101065912	101065991	+		
hsa-mir-376b|MI0002466	hsa-mir-376b	MI0002466	pre-mir	14	101040436	101040535	+		
hsa-mir-483|MI0002467	hsa-mir-483	MI0002467	pre-mir	11	2134134	2134209	-		
hsa-mir-484|MI0002468	hsa-mir-484	MI0002468	pre-mir	16	15643294	15643372	+		
hsa-mir-485|MI0002469	hsa-mir-485	MI0002469	pre-mir	14	101055419	101055491	+		
hsa-mir-486-1|MI0002470	hsa-mir-486-1	MI0002470	pre-mir	8	41660441	41660508	-		
hsa-mir-487a|MI0002471	hsa-mir-487a	MI0002471	pre-mir	14	101052446	101052525	+		
hsa-mir-488|MI0003123	hsa-mir-488	MI0003123	pre-mir	1	177029363	177029445	-		
hsa-mir-489|MI0003124	hsa-mir-489	MI0003124	pre-mir	7	93483936	93484019	-		
hsa-mir-490|MI0003125	hsa-mir-490	MI0003125	pre-mir	7	136903167	136903294	+		
hsa-mir-491|MI0003126	hsa-mir-491	MI0003126	pre-mir	9	20716105	20716188	+		
hsa-mir-511|MI0003127	hsa-mir-511	MI0003127	pre-mir	10	17845107	17845193	+		
hsa-mir-146b|MI0003129	hsa-mir-146b	MI0003129	pre-mir	10	102436512	102436584	+		
hsa-mir-202|MI0003130	hsa-mir-202	MI0003130	pre-mir	10	133247511	133247620	-		
hsa-mir-492|MI0003131	hsa-mir-492	MI0003131	pre-mir	12	94834398	94834513	+		
hsa-mir-493|MI0003132	hsa-mir-493	MI0003132	pre-mir	14	100869060	100869148	+		
hsa-mir-432|MI0003133	hsa-mir-432	MI0003133	pre-mir	14	100884483	100884576	+		
hsa-mir-494|MI0003134	hsa-mir-494	MI0003134	pre-mir	14	101029634	101029714	+		
hsa-mir-495|MI0003135	hsa-mir-495	MI0003135	pre-mir	14	101033755	101033836	+		
hsa-mir-496|MI0003136	hsa-mir-496	MI0003136	pre-mir	14	101060573	101060674	+		
hsa-mir-193b|MI0003137	hsa-mir-193b	MI0003137	pre-mir	16	14303967	14304049	+		
hsa-mir-497|MI0003138	hsa-mir-497	MI0003138	pre-mir	17	7017911	7018022	-		
hsa-mir-181d|MI0003139	hsa-mir-181d	MI0003139	pre-mir	19	13874875	13875011	+		
hsa-mir-512-1|MI0003140	hsa-mir-512-1	MI0003140	pre-mir	19	53666679	53666762	+		
hsa-mir-512-2|MI0003141	hsa-mir-512-2	MI0003141	pre-mir	19	53669157	53669254	+		
hsa-mir-498|MI0003142	hsa-mir-498	MI0003142	pre-mir	19	53674197	53674320	+		
hsa-mir-520e|MI0003143	hsa-mir-520e	MI0003143	pre-mir	19	53675711	53675797	+		
hsa-mir-515-1|MI0003144	hsa-mir-515-1	MI0003144	pre-mir	19	53679003	53679085	+		
hsa-mir-519e|MI0003145	hsa-mir-519e	MI0003145	pre-mir	19	53679940	53680023	+		
hsa-mir-520f|MI0003146	hsa-mir-520f	MI0003146	pre-mir	19	53682159	53682245	+		
hsa-mir-515-2|MI0003147	hsa-mir-515-2	MI0003147	pre-mir	19	53685009	53685091	+		
hsa-mir-519c|MI0003148	hsa-mir-519c	MI0003148	pre-mir	19	53686469	53686555	+		
hsa-mir-520a|MI0003149	hsa-mir-520a	MI0003149	pre-mir	19	53690881	53690965	+		
hsa-mir-526b|MI0003150	hsa-mir-526b	MI0003150	pre-mir	19	53694393	53694475	+		
hsa-mir-519b|MI0003151	hsa-mir-519b	MI0003151	pre-mir	19	53695213	53695293	+		
