probe-id	chromosome	start	stop	strand	genes
cg00041575	11	2301510	2301512	-	C11orf21;TSPAN32
cg00042156	10	42475393	42475395	-	CCNYL2;LINC00839
cg00043004	16	1980890	1980892	+	NOXO1;TBL3
cg00043080	19	40347247	40347249	+	C19orf47;PLD3
cg00044245	6	93419170	93419172	-	AL591519.1;EPHA7
cg00044729	22	39894971	39894973	-	ENTHD1
cg00047050	11	108008704	108008706	-	AP003307.1;CUL5
cg00047469	9	113410287	113410289	+	C9orf43;POLE3
cg00049986	14	35122207	35122209	-	AL121594.1;PPP2R3C;PRORP
cg00050312	17	66302946	66302948	-	PRKCA
cg00051623	11	105036301	105036303	-	CASP1
cg00051979	10	93702403	93702405	+	FRA10AC1
cg00053292	17	63600940	63600942	+	TACO1
cg00053647	7	6826440	6826442	+	CCZ1B
cg00054706	2	68062839	68062841	+	C1D
cg00055233	9	5339676	5339678	-	RLN1
cg00056767	13	43879046	43879048	+	AL512506.1;CCDC122;LACC1
cg00057593	8	142835542	142835544	+	AC083841.3;GML
cg00058938	19	40218825	40218827	+	TTC9B
cg00059225	5	151924795	151924797	-	GLRA1
cg00059424	22	30592160	30592162	+	PES1
cg00059740	7	135170936	135170938	-	AC083862.2;CYREN
cg00059930	13	48320245	48320247	+	PPP1R26P1;RB1
cg00060762	15	51971935	51971937	+	LEO1;MAPK6
cg00060882	X	24054693	24054695	-	EIF2S3
cg00061059	19	14530170	14530172	+	DNAJB1;TECR
cg00061629	11	44303707	44303709	+	ALX4
cg00062776	19	48899166	48899168	-	NUCB1;TULP2
cg00063144	17	41397802	41397804	+	KRT31
cg00065385	9	108861114	108861116	-	ACTL7A
cg00065408	12	48818691	48818693	+	CACNB3
cg00066153	11	125680848	125680850	-	ACRV1
cg00066816	5	159331344	159331346	-	AC008691.1;IL12B
cg00067471	19	1241377	1241379	+	ATP5F1D
cg00069261	16	22375209	22375211	+	AC092338.2;CDR2
cg00071250	1	172659122	172659124	+	FASLG
cg00071998	6	31740343	31740345	-	CLIC1;MSH5;MSH5-SAPCD1
cg00072216	4	2261910	2261912	-	MXD4
cg00073650	16	88855757	88855759	-	GALNS;TRAPPC2L
cg00075967	15	74203012	74203014	-	CCDC33;STRA6
cg00076645	5	172284557	172284559	+	UBTD2
cg00077457	1	89994440	89994442	+	GEMIN8P4;ZNF326
cg00077877	8	130402227	130402229	+	ASAP1
cg00078194	11	46381398	46381400	+	MDK
cg00078867	X	48684008	48684010	+	WAS
cg00079056	9	33239642	33239644	+	SPINK4
cg00079563	22	42857514	42857516	-	ARFGAP3;PACSIN2
cg00080012	11	86244646	86244648	-	EED
cg00081935	12	3077739	3077741	+	TSPAN9
cg00081975	17	50635008	50635010	+	ABCC3
cg00083720	20	17570271	17570273	+	BFSP1;DSTN
cg00083937	22	50601375	50601377	+	CHKB;MAPK8IP2
cg00084687	7	92447581	92447583	-	GATAD1;TMBIM7P
cg00089071	17	38749555	38749557	+	AC006449.5;PCGF2
cg00090147	8	11704857	11704859	+	GATA4
cg00091693	17	40885349	40885351	+	KRT20
cg00093177	17	39029241	39029243	-	LRRC37A11P
cg00094319	13	25096391	25096393	-	PABPC3
cg00094851	2	25982836	25982838	+	KIF3C
cg00095526	1	201112557	201112559	-	CACNA1S
cg00095674	1	150150463	150150465	-	PLEKHO1
cg00096922	7	97024872	97024874	+	DLX5
cg00097536	2	43227336	43227338	-	LINC01126;ZFP36L2
cg00098162	10	88859815	88859817	+	NA
cg00098239	19	7534286	7534288	+	AC008878.2;PNPLA6
cg00099550	10	43408989	43408991	-	HNRNPF
cg00101227	1	161310475	161310477	+	MPZ
cg00103783	17	7583930	7583932	-	AC016876.1;MPDU1
cg00105253	14	105180856	105180858	+	AL512356.1;NUDT14
cg00105470	1	228103166	228103168	-	C1orf35
cg00107187	14	104604660	104604662	-	TMEM179
cg00107488	22	19942913	19942915	+	COMT;TXNRD2
cg00107632	4	37826877	37826879	-	PGM2
cg00108454	1	22637120	22637122	-	C1QA
cg00109274	13	42048895	42048897	-	DGKH
cg00112517	17	39626757	39626759	+	PPP1R1B
cg00113020	19	54662030	54662032	+	LILRB4
cg00113951	12	120640286	120640288	-	AC125616.1;CABP1
cg00115714	6	110874908	110874910	+	AMD1
cg00116234	9	18474244	18474246	+	ADAMTSL1
cg00116838	19	45498487	45498489	+	PPM1N;RTN2
cg00117172	1	24929346	24929348	-	RUNX3
cg00119079	3	183162489	183162491	+	LAMP3
cg00121158	9	6757825	6757827	-	KDM4C
cg00121640	9	117414236	117414238	+	ASTN2
cg00121904	X	43882579	43882581	-	MAOB
cg00123035	1	151347061	151347063	-	RFX5;RFX5-AS1
cg00126034	17	46818795	46818797	-	WNT3
cg00126657	X	48107864	48107866	+	SSX6P
cg00126698	X	101385514	101385516	-	BTK
cg00128197	X	53434507	53434509	-	AC233728.1;HSD17B10
cg00128560	16	3302012	3302014	-	TIGD7
cg00128654	14	90331718	90331720	-	NRDE2
cg00128766	1	46719543	46719545	-	EFCAB14
cg00128877	1	46604505	46604507	-	MKNK1
cg00129774	12	55966629	55966631	-	CDK2;PMEL
cg00131121	7	102479262	102479264	+	POLR2J
cg00131557	13	43022519	43022521	+	DNAJC15
cg00132141	10	67696548	67696550	+	CTNNA3
cg00133909	15	73684859	73684861	+	CD276
cg00134539	21	42403961	42403963	-	UBASH3A
cg00134787	17	10516181	10516183	+	AC005323.2;MYH1;MYHAS
cg00135056	3	129278451	129278453	+	AC137695.3;HMCES
cg00135393	4	154612508	154612510	-	FGG
cg00136105	12	101831132	101831134	-	GNPTAB
cg00136405	4	122621042	122621044	+	IL21;IL21-AS1
cg00136477	1	22643845	22643847	-	C1QC
cg00136736	22	29553915	29553917	-	THOC5
cg00138126	20	57711640	57711642	-	NKILA;PMEPA1
cg00141162	3	121660929	121660931	+	HCLS1
cg00141550	X	50284388	50284390	-	CCNB3
cg00141845	X	75273516	75273518	+	UPRT
cg00143376	2	231529990	231529992	+	NMUR1
cg00143998	1	228458157	228458159	-	H2AW;H2BU1
cg00145118	5	142014365	142014367	-	GNPDA1
cg00145348	X	55000428	55000430	+	APEX2
cg00146096	11	22625762	22625764	+	FANCF;GAS2
cg00149659	3	10115667	10115669	+	BRK1
cg00149976	3	127822685	127822687	-	MGLL
cg00151234	X	78103865	78103867	+	PGK1
cg00151607	16	88857098	88857100	+	GALNS;TRAPPC2L
cg00152644	1	153095759	153095761	+	SPRR2E
cg00155167	8	99013602	99013604	+	VPS13B;VPS13B-DT
cg00155485	12	116276794	116276796	+	MED13L
cg00155609	19	12801712	12801714	+	AC018761.2;HOOK2;PRDX2;THSD8
cg00156216	11	130069953	130069955	+	APLP2
cg00156744	5	172188658	172188660	-	STK10
cg00158308	13	96994086	96994088	+	OXGR1
cg00160914	1	111756640	111756642	-	AL049557.1;DDX20;INKA2
cg00162401	6	52995024	52995026	-	7SK;GSTA4;RN7SK
cg00162643	9	32526493	32526495	-	DDX58
cg00164041	4	88457047	88457049	+	HERC5
cg00164898	22	50270697	50270699	-	MAPK11
cg00165981	5	75512213	75512215	+	CERT1;POLK
cg00167504	7	43759022	43759024	+	BLVRA
cg00168082	9	130713789	130713791	+	ABL1
cg00168785	2	159286131	159286133	-	WDSUB1
cg00168942	10	35605501	35605503	+	AL121749.1;GJD4
cg00169548	14	34875925	34875927	+	AL121603.2;BAZ1A
cg00171126	21	39380595	39380597	+	GET1;GET1-SH3BGR
cg00171161	4	87422483	87422485	+	NUDT9
cg00174500	14	23377269	23377271	+	CMTM5
cg00174901	19	709888	709890	+	PALM
cg00176210	8	41797448	41797450	+	ANK1
cg00176879	20	2862878	2862880	-	PTPRA;VPS16
cg00177013	20	63707747	63707749	-	AL121845.3;ARFRP1;ZGPAT
cg00177698	17	47941508	47941510	-	PNPO;SP2-AS1
cg00177923	8	30095138	30095140	+	LEPROTL1
cg00178790	18	13726864	13726866	-	FAM210A;RNMT
cg00179446	X	119852983	119852985	-	UPF3B
cg00180012	6	108294724	108294726	+	AFG1L
cg00180631	X	150568189	150568191	+	MTM1
cg00182461	2	200889592	200889594	+	NIF3L1;PPIL3
cg00183782	15	99598622	99598624	-	MEF2A
cg00183916	17	14301618	14301620	-	HS3ST3B1
cg00184884	22	31496356	31496358	-	DRG1;EIF4ENIF1;SFI1
cg00184893	17	8118386	8118388	-	ALOXE3
cg00185103	19	43926733	43926735	-	AC006213.3;ZNF45
cg00185839	11	804953	804955	+	PIDD1
cg00186141	7	131557008	131557010	-	PODXL
cg00186701	8	97278281	97278283	+	TSPYL5
cg00186954	11	8912432	8912434	+	AKIP1;DENND2B
cg00187380	12	54033599	54033601	+	AC012531.2;AC012531.3;HOXC4;HOXC5;MIR615
cg00187686	11	59866744	59866746	+	TCN1
cg00188348	4	37825990	37825992	+	PGM2
cg00191052	X	46573334	46573336	+	CHST7
cg00194146	6	13488171	13488173	-	GFOD1
cg00195561	11	46387033	46387035	+	CHRM4
cg00197381	5	138337979	138337981	-	CDC25C;FAM53C
cg00197641	14	22830251	22830253	-	MRPL52;SLC7A7
cg00199549	22	35399380	35399382	-	MCM5
cg00200063	17	60392579	60392581	+	C17orf64;USP32
cg00201234	3	13549467	13549469	+	FBLN2
cg00202702	11	102047425	102047427	-	CFAP300
cg00202711	X	114583936	114583938	-	HTR2C
cg00204262	19	38832517	38832519	+	AC008982.1;ECH1
cg00206052	10	101588385	101588387	+	DPCD;POLL
cg00207534	16	71895608	71895610	+	IST1;ZNF821
cg00208830	1	183185642	183185644	-	LAMC2
cg00208967	19	9937247	9937249	-	OLFM2
cg00209066	22	49825274	49825276	-	BRD1
cg00209951	1	114670212	114670214	-	DENND2C
cg00210842	12	98645799	98645801	-	APAF1;IKBIP
cg00211661	11	72722573	72722575	-	ARAP1
cg00212549	3	123028772	123028774	-	SEMA5B
cg00213044	12	52492653	52492655	+	KRT6A
cg00213331	5	139127773	139127775	-	SIL1
cg00213714	9	116687090	116687092	+	ASTN2;TRIM32
cg00214346	17	68512375	68512377	+	AC007780.1;PRKAR1A
cg00214794	17	41624370	41624372	+	KRT17
cg00214855	6	13813714	13813716	-	MCUR1
cg00215066	19	17101505	17101507	+	MYO9B
cg00216361	3	115623679	115623681	-	GAP43
cg00216758	11	560588	560590	-	LMNTD2;RASSF7
cg00217795	14	80211344	80211346	-	DIO2;DIO2-AS1
cg00221494	13	98142338	98142340	+	FARP1
cg00223186	1	180503064	180503066	+	ACBD6
cg00223950	1	19209727	19209729	-	EMC1-AS1;UBR4
cg00224234	17	782452	782454	+	GLOD4;MRM3
cg00224508	1	151058846	151058848	-	CDC42SE1
cg00226904	18	63489831	63489833	-	SERPINB5
cg00226923	6	37004250	37004252	-	FGD2
cg00228799	9	128818311	128818313	+	ENDOG
cg00229387	6	43478203	43478205	-	TJAP1
cg00230271	4	106316025	106316027	-	AIMP1;TBCK
cg00230368	6	159968800	159968802	+	IGF2R
cg00230502	12	119334575	119334577	-	CCDC60
cg00230685	X	17737718	17737720	+	SCML1
cg00231140	18	49813331	49813333	+	AC090227.1;AC090227.2;ACAA2;SCARNA17;SNHG22
cg00231644	6	3158277	3158279	+	TUBB2A
cg00231920	20	2840661	2840663	+	PCED1A;VPS16
cg00233307	19	38618435	38618437	+	EIF3K;MAP4K1
cg00234616	2	74513444	74513446	-	TLX2
cg00234961	22	49852924	49852926	+	AL117328.2;ZBED4
cg00236832	17	40309236	40309238	-	RARA
cg00237010	12	663694	663696	-	NINJ2;NINJ2-AS1
cg00238052	X	102125318	102125320	-	TCEAL2
cg00239071	14	100323399	100323401	-	SLC25A47
cg00239419	17	59891824	59891826	+	RPS6KB1;TUBD1
cg00239685	3	39106850	39106852	-	GORASP1;TTC21A
cg00240312	16	68737610	68737612	+	CDH1
cg00240432	7	19117672	19117674	+	TWIST1
cg00240880	20	44714591	44714593	-	CCN5;KCNK15-AS1
cg00241355	12	6534462	6534464	+	AC006064.3;GAPDH
cg00242839	10	6088614	6088616	+	RBM17
cg00243313	5	1883298	1883300	+	IRX4;IRX4-AS1
cg00245878	7	64990496	64990498	-	ERV3-1;ZNF117
cg00247489	1	207454836	207454838	-	CR2
cg00250430	9	1051578	1051580	+	DMRT2
cg00253200	3	192918284	192918286	-	MB21D2
cg00256074	16	30374828	30374830	-	MYLPF
cg00256166	15	85795196	85795198	-	KLHL25
cg00256281	22	41589637	41589639	-	PMM1
cg00259755	10	132396258	132396260	+	PWWP2B
cg00260778	10	15098412	15098414	-	RPP38;RPP38-DT
cg00261552	12	12611959	12611961	-	CREBL2
cg00261781	2	20012755	20012757	-	MATN3
cg00262415	1	1307351	1307353	-	ACAP3;PUSL1
cg00263723	17	46373455	46373457	-	NSFP1
cg00263760	10	117137854	117137856	-	VAX1
cg00265415	1	235504206	235504208	-	B3GALNT2
cg00265490	8	97643616	97643618	-	AP002982.2;MTDH
cg00268009	4	99089059	99089061	-	ADH5;AP002026.1
cg00268338	10	91409737	91409739	+	HECTD2
cg00269115	1	23369036	23369038	+	Y_RNA;ZNF436;ZNF436-AS1
cg00269932	19	54366001	54366003	-	LAIR1
cg00273068	20	41367106	41367108	-	EMILIN3
cg00273124	5	178154510	178154512	-	NHP2
cg00274399	13	21671280	21671282	+	FGF9
cg00275232	19	45076282	45076284	+	ZNF296
cg00276797	10	103966855	103966857	+	SLK
cg00278366	12	110502481	110502483	+	AC002350.2;RAD9B;VPS29
cg00279797	X	110318689	110318691	+	AMMECR1
cg00280814	22	23403201	23403203	-	ZDHHC8P1
cg00280894	X	102463138	102463140	-	AC235565.2;TCP11X2
cg00282347	1	6180979	6180981	-	AL031847.1;CHD5
cg00282683	7	157139300	157139302	+	UBE3C
cg00283535	8	123737323	123737325	+	ANXA13
cg00288562	7	23532025	23532027	+	TRA2A
cg00290028	13	36818987	36818989	+	RFXAP
cg00290506	1	224616523	224616525	+	CNIH3;CNIH3-AS2
cg00291877	15	101295727	101295729	-	AC023024.1;PCSK6;SNRPA1
cg00292662	22	37675160	37675162	+	LGALS1
cg00292971	7	143363442	143363444	+	AC093673.2;FAM131B
cg00293409	3	196639797	196639799	+	NRROS;PIGX
cg00294382	12	56338936	56338938	+	IL23A
cg00295206	3	128725969	128725971	-	RAB7A
cg00295325	2	169031421	169031423	+	ABCB11
cg00296685	6	30908294	30908296	+	AL669830.1;GTF2H4
cg00297584	12	116533225	116533227	-	LINC00173
cg00297600	8	35544151	35544153	+	UNC5D
cg00298357	5	149379227	149379229	-	IL17B
cg00298951	12	108340013	108340015	+	CMKLR1
cg00301864	12	120116667	120116669	+	AC004812.2;RAB35
cg00302793	4	101346967	101346969	+	FLJ20021;PPP3CA
cg00303548	13	96090158	96090160	+	HS6ST3
cg00304278	17	62479790	62479792	+	TLK2
cg00307685	1	91949966	91949968	-	BRDT
cg00308133	19	1401118	1401120	-	GAMT
cg00308665	13	46895518	46895520	-	HTR2A
cg00309056	7	38178509	38178511	+	STARD3NL
cg00309204	17	7404112	7404114	-	NLGN2;TMEM256;TMEM256-PLSCR3
cg00311768	8	143616686	143616688	-	GFUS
cg00312919	7	38178107	38178109	-	STARD3NL
cg00314943	2	232406039	232406041	+	ALPG
cg00315936	7	127652684	127652686	-	AC073934.1;SND1
cg00317680	8	96261841	96261843	+	MTERF3;PTDSS1
cg00318573	20	63361765	63361767	-	AL121827.1;CHRNA4
cg00318865	12	51952111	51952113	-	ACVR1B
cg00319692	8	86098889	86098891	+	ATP6V0D2
cg00319761	16	2980445	2980447	-	PKMYT1
cg00320243	19	18203880	18203882	+	AC005759.1;RAB3A
cg00321065	1	40161390	40161392	+	RLF
cg00321478	1	197269267	197269269	-	CRB1
cg00323915	7	150567898	150567900	+	GIMAP4
cg00324733	11	17276799	17276801	+	NUCB2
cg00325491	11	93553003	93553005	-	NA
cg00327185	11	112025773	112025775	-	DLAT
cg00327483	1	160190796	160190798	+	CASQ1
cg00328227	1	108661702	108661704	+	AL160171.1;HENMT1
cg00331237	12	76879538	76879540	+	AC124784.1;CSRP2
cg00331433	X	16719676	16719678	+	SYAP1
cg00332153	4	101790852	101790854	-	BANK1
cg00332745	16	67174343	67174345	+	NOL3
cg00333226	7	49774166	49774168	+	VWC2
cg00333528	6	89217765	89217767	-	GABRR1
cg00334507	16	29813277	29813279	-	AC009133.1;AC009133.6;PRRT2
cg00335286	18	13916355	13916357	+	MC2R
cg00336605	19	50376179	50376181	-	NR1H2
cg00338702	12	132887107	132887109	+	AC127070.1;CHFR
cg00338893	7	141014813	141014815	+	MRPS33
cg00340102	20	35541706	35541708	-	ERGIC3
cg00342530	9	127264740	127264742	-	GARNL3
cg00343092	22	43151967	43151969	-	TSPO
cg00344358	12	55741908	55741910	+	GDF11
cg00344372	4	3441897	3441899	-	HGFAC
cg00344709	21	13609903	13609905	+	POTED
cg00346145	4	108620402	108620404	+	RPL34;RPL34-DT
cg00347729	11	102781021	102781023	-	MMP10;WTAPP1
cg00347904	6	35214730	35214732	-	SCUBE3
cg00350296	11	66317369	66317371	+	AP001107.3;CD248
cg00350478	6	168079332	168079334	+	FRMD1
cg00350702	20	35542177	35542179	+	ERGIC3
cg00351011	19	8209575	8209577	-	CERS4
cg00353953	12	6690374	6690376	+	ZNF384
cg00354258	19	56795369	56795371	-	AC006115.2;ZIM2;ZIM2-AS1
cg00354572	12	81077639	81077641	+	ACSS3
cg00355802	8	29351465	29351467	+	AC084262.2;DUSP4
cg00359325	3	49339985	49339987	+	USP4
cg00359973	X	53422950	53422952	-	RIBC1;SMC1A
cg00363813	12	6555705	6555707	-	IFFO1
cg00364344	11	6619412	6619414	-	AC091564.6;TPP1
cg00364814	12	57297671	57297673	+	AC137834.1;R3HDM2
cg00365193	6	3054623	3054625	-	AL031963.2
cg00367281	8	42697326	42697328	-	CHRNB3
cg00367438	7	151083709	151083711	+	TMUB1
cg00368022	5	31532545	31532547	+	C5orf22;DROSHA
cg00368415	1	151611921	151611923	+	SNX27
cg00371195	11	46718930	46718932	-	F2
cg00374717	17	68307003	68307005	-	ARSG
cg00375964	4	145097977	145097979	-	ABCE1;AC098588.2;ANAPC10
cg00376639	19	55643784	55643786	+	CCDC106;ZNF581
cg00380464	6	143843512	143843514	-	AL049844.1;LTV1
cg00381076	18	54358426	54358428	-	C18orf54;STARD6
cg00382515	2	223957511	223957513	+	MRPL44
cg00382991	15	84343837	84343839	-	NA
cg00384537	17	41481710	41481712	-	KRT35
cg00386408	5	136029280	136029282	+	TGFBI
cg00387170	6	41546263	41546265	+	FOXP4;FOXP4-AS1
cg00392257	1	156726954	156726956	+	ISG20L2;RRNAD1
cg00393585	4	164956938	164956940	+	FAM218A;TRIM61
cg00394658	11	47980116	47980118	+	PTPRJ
cg00396163	2	84516459	84516461	+	DNAH6
cg00396894	2	27139551	27139553	+	PRR30
cg00397545	19	44914268	44914270	-	AC011481.3;APOC1
cg00397740	1	161166530	161166532	+	PPOX
cg00398048	4	177443187	177443189	-	AC078881.1;AGA
cg00399483	18	52342007	52342009	+	DCC
cg00400028	3	141231073	141231075	+	PXYLP1
cg00400263	20	59939145	59939147	+	FAM217B;PPP1R3D
cg00401678	19	14676414	14676416	+	ADGRE3
cg00402366	1	74198065	74198067	+	FPGT;FPGT-TNNI3K;LRRIQ3
cg00403724	X	100584291	100584293	-	TNMD
cg00404599	X	107775200	107775202	-	NCBP2L;TSC22D3
cg00405070	12	112012842	112012844	-	ERP29;TMEM116
cg00405568	17	45061596	45061598	-	DCAKD;NMT1
cg00405677	5	154478541	154478543	-	HAND1
cg00406188	1	152674739	152674741	+	LCE2C
cg00406844	22	32357951	32357953	+	IGLCOR22-2;RFPL3
cg00407150	3	42702301	42702303	+	AC006059.3;HHATL;HHATL-AS1
cg00410419	13	75537648	75537650	-	COMMD6
cg00410576	15	52018938	52018940	+	AC090970.2;MAPK6;MAPK6-DT
cg00410831	19	43925165	43925167	-	AC006213.3;ZNF45
cg00410895	1	42818212	42818214	+	ERMAP;SVBP
cg00410898	8	23854841	23854843	+	STC1
cg00410921	15	43592939	43592941	-	CKMT1B
cg00411097	7	1556413	1556415	+	TMEM184A
cg00412772	19	38304204	38304206	-	AC011479.1;C19orf33;YIF1B
cg00412805	3	42685477	42685479	-	KLHL40
cg00413066	15	52113266	52113268	+	BCL2L10
cg00415164	11	44305547	44305549	+	ALX4
cg00415494	X	152717219	152717221	+	MAGEA2B
cg00415978	4	118888769	118888771	+	SYNPO2
cg00415993	5	76623362	76623364	+	F2RL2;IQGAP2
cg00417297	3	40477250	40477252	+	ZNF619;ZNF620
cg00418150	11	44306318	44306320	+	ALX4
cg00419564	1	153536383	153536385	-	S100A6
cg00420568	9	89179988	89179990	-	SHC3
cg00420715	8	99013135	99013137	+	VPS13B;VPS13B-DT
cg00420929	19	18340301	18340303	+	PGPEP1
cg00422913	17	1715727	1715729	-	MIR22HG;WDR81
cg00424946	16	69187268	69187270	+	SNTB2;UTP4
cg00425710	16	56638758	56638760	-	MT1A
cg00425792	17	35578483	35578485	+	AP2B1;PEX12
cg00426056	6	33418118	33418120	-	CUTA
cg00426498	17	29180648	29180650	+	MYO18A
cg00426963	9	83920839	83920841	+	KIF27
cg00427635	15	73874030	73874032	-	AC018943.1;TBC1D21
cg00429618	9	97200067	97200069	-	ANKRD18CP;ZNF322P1
cg00430287	6	116061712	116061714	+	FRK
cg00430945	19	49114051	49114053	-	LIN7B
cg00431050	10	102225972	102225974	+	ELOVL3
cg00431114	20	44475386	44475388	-	TTPAL
cg00431549	12	14886090	14886092	+	C12orf60;MGP
cg00432979	13	21176333	21176335	-	MRPL57;SKA3
cg00433406	1	20290481	20290483	-	VWA5B1
cg00434413	X	153936199	153936201	-	ARHGAP4;NAA10;RENBP
cg00435408	16	57186749	57186751	+	PSME3IP1;RSPRY1
cg00436282	4	69995731	69995733	-	STATH
cg00436301	6	116100572	116100574	-	NT5DC1
cg00436603	10	133527235	133527237	-	AL161645.1;CYP2E1
cg00441136	20	32277044	32277046	-	AL121897.1;KIF3B
cg00441382	15	73992139	73992141	-	STOML1
cg00443307	12	8989143	8989145	+	AC006581.1;KLRG1
cg00445824	19	18438118	18438120	+	ISYNA1
cg00446235	1	161038853	161038855	-	AL591806.2;TSTD1
cg00447208	17	78130219	78130221	-	TMC6;TMC8
cg00448720	13	24308875	24308877	-	AL359736.1;C1QTNF9
cg00449941	17	28598992	28598994	-	AC005726.1;SPAG5;SPAG5-AS1
cg00451635	16	10581172	10581174	+	EMP2
cg00453193	7	116210995	116210997	-	AC073130.3;TES
cg00453258	10	103459414	103459416	-	AL139339.1;CALHM1
cg00459975	8	28891581	28891583	-	HMBOX1;INTS9
cg00461841	16	10429627	10429629	-	ATF7IP2
cg00462311	14	24367977	24367979	+	NFATC4
cg00462994	17	44004586	44004588	-	NAGS;PYY
cg00463202	13	113453394	113453396	+	ADPRHL1
cg00463577	6	73452187	73452189	+	CGAS
cg00463848	12	52652320	52652322	+	KRT2
cg00464269	17	28335815	28335817	+	IFT20;TNFAIP1
cg00465284	2	80304772	80304774	+	CTNNA2;LRRTM1
cg00465846	8	124474732	124474734	+	RNF139;RNF139-AS1
cg00466249	17	81296083	81296085	+	SLC38A10
cg00466436	20	142521	142523	+	DEFB126
cg00466492	19	7926845	7926847	+	CTXN1;TIMM44
cg00466544	14	56579524	56579526	-	TMEM260
cg00468146	6	19837979	19837981	-	ID4;LNC-LBCS
cg00469635	11	74171425	74171427	-	C2CD3;PPME1
cg00471562	10	1056432	1056434	-	WDR37
cg00472136	12	57016819	57016821	+	TAC3
cg00472814	21	26845356	26845358	-	ADAMTS1
cg00474004	9	21239944	21239946	+	IFNA14
cg00474209	6	170290971	170290973	-	DLL1;FAM120B
cg00475955	9	128829769	128829771	-	AL441992.2;SPOUT1
cg00476577	20	53583868	53583870	+	ZNF217
cg00476580	1	150235234	150235236	-	ANP32E
cg00479269	2	101253512	101253514	-	CNOT11;TBC1D8
cg00480115	19	35115972	35115974	-	AC020907.6;FXYD3
cg00480209	17	10697371	10697373	-	ADPRM;SCO1
cg00480356	15	43800607	43800609	+	AC018512.1;HYPK;SERF2;SERINC4
cg00481227	20	37693666	37693668	+	CTNNBL1
cg00483154	5	177516502	177516504	+	DDX41
cg00485296	16	1771557	1771559	+	EME2;NME3
cg00485380	7	26200939	26200941	-	CBX3;HNRNPA2B1
cg00487159	16	11255710	11255712	+	RMI2;SOCS1
cg00488300	16	1226489	1226491	-	TPSG1
cg00488364	X	115018751	115018753	+	IL13RA2
cg00488718	4	127965888	127965890	+	ABHD18;MFSD8
cg00489401	5	180648874	180648876	-	FLT4
cg00491404	1	109763968	109763970	+	AL158847.1;EPS8L3;GSTM5
cg00491839	19	48872382	48872384	-	PPP1R15A
cg00493400	2	191014400	191014402	-	STAT1
cg00495415	12	53380010	53380012	-	SP1
cg00495442	20	38472528	38472530	+	RALGAPB
cg00495491	12	26669879	26669881	-	ITPR2
cg00496170	14	67360162	67360164	-	ATP6V1D;EIF2S1
cg00497084	X	18690996	18690998	+	PPEF1;PPEF1-AS1
cg00497251	2	240569307	240569309	-	ANKMY1;RNPEPL1
cg00498305	10	117240724	117240726	-	AL731557.1;SLC18A2
